Release Dates (YYYY-MM-DD) for junit4,Release Dates (YYYY-MM-DD) for testng,Release Dates (YYYY-MM-DD) for slf4j,Release Dates (YYYY-MM-DD) for log4j2,Release Dates (YYYY-MM-DD) for logback,Release Dates (YYYY-MM-DD) for commons logging,Release Dates (YYYY-MM-DD) for tinylog,Release Dates (YYYY-MM-DD) for blitz4j,Release Dates (YYYY-MM-DD) for minlog,Release Dates (YYYY-MM-DD) for guava,Release Dates (YYYY-MM-DD) for commons lang,Release Dates (YYYY-MM-DD) for mockito,Release Dates (YYYY-MM-DD) for easymock,Release Dates (YYYY-MM-DD) for powermock,Release Dates (YYYY-MM-DD) for jmock,Release Dates (YYYY-MM-DD) for bouncycastle,Release Dates (YYYY-MM-DD) for commons crypto,Release Dates (YYYY-MM-DD) for conceal,Release Dates (YYYY-MM-DD) for chimera,Release Dates (YYYY-MM-DD) for spongycastle,Release Dates (YYYY-MM-DD) for keyczar,Release Dates (YYYY-MM-DD) for conscrypt,Release Dates (YYYY-MM-DD) for gson,Release Dates (YYYY-MM-DD) for json.simple,Release Dates (YYYY-MM-DD) for h2,Release Dates (YYYY-MM-DD) for derby,Release Dates (YYYY-MM-DD) for shiro,Release Dates (YYYY-MM-DD) for spring security,Release Dates (YYYY-MM-DD) for hibernate orm,Release Dates (YYYY-MM-DD) for mybatis3,Release Dates (YYYY-MM-DD) for ormlite,Release Dates (YYYY-MM-DD) for xerces2-j,Release Dates (YYYY-MM-DD) for dom4j,Release Dates (YYYY-MM-DD) for jdom
2004-12-28,2010-07-31,2005-12-27,2012-07-29,2006-08-15,2007-07-29,2012-01-23,2012-08-31,2013-11-12,2010-01-11,2007-07-29,2009-01-14,2009-05-24,2014-05-28,2004-02-06,2013-06-01,2016-01-05,2016-02-24,2016-01-05,2013-06-01,2011-11-02,2017-02-23,2008-05-22,2008-11-25,2011-05-27,2005-07-31,2010-10-08,2006-05-30,2010-07-21,2010-05-20,2010-09-14,1999-11-09,2000-12-20,2009-07-23
2009-04-14,2010-08-03,2007-02-28,2012-08-24,2006-08-23,2007-07-29,2012-01-25,2012-08-31,2014-07-20,2010-04-09,2007-07-29,2009-01-23,2009-08-31,2014-09-04,2004-03-03,2013-12-03,2016-02-01,2016-03-25,2016-02-01,2013-12-03,2012-02-22,2017-03-01,2008-07-01,2009-01-10,2012-02-03,2005-08-04,2010-10-08,2006-06-22,2010-08-04,2010-08-21,2010-09-22,2000-01-05,2001-11-02,2011-10-02
2009-07-28,2010-08-30,2007-04-15,2012-09-18,2006-09-08,2007-07-29,2012-02-01,2012-09-04,,2010-06-03,2007-07-29,2009-07-23,2009-09-12,2014-11-27,2004-05-24,2014-07-25,2016-02-05,2016-04-05,2016-02-05,2014-01-18,2012-04-05,2017-03-03,2008-07-19,2009-01-23,2012-02-03,2005-12-06,2010-10-08,2006-10-04,2010-08-18,2010-11-18,2010-09-24,2000-02-29,2002-02-14,2011-10-10
2009-10-27,2010-10-04,2007-05-22,2012-10-07,2006-10-09,2007-07-29,2012-02-03,2012-09-08,,2010-06-03,2007-07-29,2009-11-11,2009-12-15,2015-01-03,2004-05-24,2015-03-02,2016-07-25,2016-04-13,,2014-07-26,2012-04-26,2017-03-06,2008-08-31,2009-02-01,2014-04-12,2006-07-05,2010-10-28,2006-11-17,2010-09-01,2010-12-31,2010-09-28,2000-03-08,2002-03-14,2012-02-17
2009-10-27,2010-10-05,2007-07-04,2012-11-10,2006-10-26,2007-07-29,2012-03-29,2012-09-12,,2010-06-03,2007-07-29,2009-11-21,2009-12-17,2015-03-16,2004-05-24,2015-10-12,2016-07-25,2016-04-20,,2014-07-26,2012-05-22,2017-03-07,2008-10-13,2012-02-19,2014-05-02,2006-10-06,2010-10-30,2007-05-25,2010-09-15,2011-06-01,2010-10-03,2000-04-04,2003-04-07,2012-03-17
2009-11-17,2010-12-15,2007-07-12,2012-11-11,2006-12-06,2007-07-29,2012-07-23,2012-09-28,,2010-07-08,2007-07-29,2009-12-12,2010-03-22,2015-10-02,2004-05-24,2015-12-29,,2016-09-20,,2015-06-14,2012-06-01,2017-03-10,2008-10-15,,2014-06-23,2006-12-19,2012-01-19,2007-09-06,2010-09-29,2011-10-09,2010-10-08,2000-04-14,2003-04-07,2012-03-27
2009-12-01,2010-12-15,2007-08-20,2012-11-11,2006-12-18,2007-07-29,2012-08-19,2012-10-09,,2010-09-22,2007-07-29,2010-03-07,2010-05-09,2015-12-11,2004-06-01,2016-08-18,,2017-06-30,,2015-10-18,2012-12-19,2017-03-29,2008-11-15,,2014-08-06,2007-08-10,2012-01-20,2007-12-24,2010-10-13,2012-03-11,2010-10-13,2000-05-10,2003-04-08,2012-04-02
2009-12-08,2010-12-21,2008-02-26,2013-01-28,2006-12-19,2007-07-29,2012-08-20,2012-10-16,,2011-01-31,2007-07-29,2010-03-17,2011-11-10,2016-04-30,2004-06-01,2016-12-23,,,,2015-10-18,2013-09-06,2017-06-15,2009-01-12,,2014-10-17,2007-12-10,2012-01-20,2008-01-02,2011-02-03,2012-04-15,2010-11-09,2000-05-11,2004-03-25,2012-04-07
2010-04-08,2010-12-22,2008-06-05,2013-01-28,2007-01-12,2007-07-29,2013-03-06,2012-10-18,,2011-04-08,2007-07-29,2010-05-24,2013-07-10,2016-11-04,2004-06-01,2017-05-12,,,,2015-12-29,2013-09-06,2017-08-02,2009-02-06,,2014-12-13,2008-04-25,2012-07-25,2008-02-29,2011-03-10,2013-02-20,2010-11-12,2000-05-22,2004-05-12,2012-04-23
2011-01-03,2011-01-27,2008-06-08,2013-04-20,2007-01-23,2007-07-29,2013-11-19,2012-11-10,,2011-09-08,2007-07-29,2011-09-13,2014-11-21,2017-01-28,2004-06-07,2017-08-17,,,,2017-04-14,2013-09-06,2017-09-15,2009-03-17,,2014-12-19,2008-05-21,2012-08-12,2008-04-01,2011-03-10,2013-03-10,2010-11-17,2000-05-22,2004-07-04,2012-06-09
